study_accession,sample_accession,country,material,biome,feature,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,library_layout,library_source,library_selection,read_count,center_name,first_public,study_title,fastq_ftp,fastq_galaxy,submitted_ftp,sra_bytes,sra_ftp,sample_alias,sample_title
PRJEB28482,SAMEA4883595,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789900,ERR2777823,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,384682,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777823/ERR2777823.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777823/ERR2777823.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777823/319441.050.upload.fastq.trim.gz,42536020,ftp.sra.ebi.ac.uk/vol1/err/ERR277/003/ERR2777823,mgs590454,734R_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883596,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789901,ERR2777824,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,139737,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777824/ERR2777824.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777824/ERR2777824.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777824/315717.050.upload.fastq.trim.gz,16421431,ftp.sra.ebi.ac.uk/vol1/err/ERR277/004/ERR2777824,mgs634977,761R_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883597,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789902,ERR2777825,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,918273,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777825/ERR2777825.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777825/ERR2777825.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777825/315713.050.upload.fastq.trim.gz,55677645,ftp.sra.ebi.ac.uk/vol1/err/ERR277/005/ERR2777825,mgs634965,761C_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883598,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789903,ERR2777826,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,438279,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777826/ERR2777826.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777826/ERR2777826.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777826/318114.050.upload.fastq.trim.gz,48865288,ftp.sra.ebi.ac.uk/vol1/err/ERR277/006/ERR2777826,mgs587771,802C_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883599,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789904,ERR2777827,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,562717,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777827/ERR2777827.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777827/ERR2777827.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777827/315714.050.upload.fastq.trim.gz,63203236,ftp.sra.ebi.ac.uk/vol1/err/ERR277/007/ERR2777827,mgs634968,761C_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883600,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789905,ERR2777828,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,276539,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777828/ERR2777828.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777828/ERR2777828.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777828/302033.050.upload.fastq.trim.gz,30520210,ftp.sra.ebi.ac.uk/vol1/err/ERR277/008/ERR2777828,mgs565855,734C_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883601,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789906,ERR2777829,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,1097816,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777829/ERR2777829.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777829/ERR2777829.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777829/319702.050.upload.fastq.trim.gz,66812623,ftp.sra.ebi.ac.uk/vol1/err/ERR277/009/ERR2777829,mgs591138,734R_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883602,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789907,ERR2777830,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,413180,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777830/ERR2777830.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777830/ERR2777830.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777830/319439.050.upload.fastq.trim.gz,45089553,ftp.sra.ebi.ac.uk/vol1/err/ERR277/000/ERR2777830,mgs590448,772C_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883603,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789908,ERR2777831,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,229199,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777831/ERR2777831.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777831/ERR2777831.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777831/319822.050.upload.fastq.trim.gz,15094185,ftp.sra.ebi.ac.uk/vol1/err/ERR277/001/ERR2777831,mgs591585,772R_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883604,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789909,ERR2777832,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,362123,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777832/ERR2777832.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777832/ERR2777832.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777832/319431.050.upload.fastq.trim.gz,37353857,ftp.sra.ebi.ac.uk/vol1/err/ERR277/002/ERR2777832,mgs590427,802C_30.fastq Taxonomy ID:256318
