study_accession,sample_accession,country,material,biome,feature,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,library_layout,library_source,library_selection,read_count,center_name,first_public,study_title,fastq_ftp,fastq_galaxy,submitted_ftp,sra_bytes,sra_ftp,sample_alias,sample_title
PRJEB20456,SAMEA104032358,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016393,ERR1950666,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,21645691,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/006/ERR1950666/ERR1950666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/006/ERR1950666/ERR1950666_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/006/ERR1950666/ERR1950666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/006/ERR1950666/ERR1950666_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950666/122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950666/122_2.fastq.gz,2917643821,ftp.sra.ebi.ac.uk/vol1/err/ERR195/006/ERR1950666,Sample1_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032359,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016394,ERR1950667,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,17169007,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/007/ERR1950667/ERR1950667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/007/ERR1950667/ERR1950667_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/007/ERR1950667/ERR1950667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/007/ERR1950667/ERR1950667_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950667/127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950667/127_2.fastq.gz,2212733601,ftp.sra.ebi.ac.uk/vol1/err/ERR195/007/ERR1950667,Sample2_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032360,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016395,ERR1950668,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,21837288,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/008/ERR1950668/ERR1950668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/008/ERR1950668/ERR1950668_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/008/ERR1950668/ERR1950668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/008/ERR1950668/ERR1950668_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950668/128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950668/128_2.fastq.gz,2862729685,ftp.sra.ebi.ac.uk/vol1/err/ERR195/008/ERR1950668,Sample3_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032361,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016396,ERR1950669,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,16103012,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/009/ERR1950669/ERR1950669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/009/ERR1950669/ERR1950669_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/009/ERR1950669/ERR1950669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/009/ERR1950669/ERR1950669_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950669/131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950669/131_2.fastq.gz,2061797026,ftp.sra.ebi.ac.uk/vol1/err/ERR195/009/ERR1950669,Sample4_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032362,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016397,ERR1950670,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,21244188,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/000/ERR1950670/ERR1950670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/000/ERR1950670/ERR1950670_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/000/ERR1950670/ERR1950670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/000/ERR1950670/ERR1950670_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950670/133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950670/133_2.fastq.gz,2779489107,ftp.sra.ebi.ac.uk/vol1/err/ERR195/000/ERR1950670,Sample5_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032363,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016398,ERR1950671,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,20225760,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/001/ERR1950671/ERR1950671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/001/ERR1950671/ERR1950671_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/001/ERR1950671/ERR1950671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/001/ERR1950671/ERR1950671_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950671/134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950671/134_2.fastq.gz,2624659398,ftp.sra.ebi.ac.uk/vol1/err/ERR195/001/ERR1950671,Sample6_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032364,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016399,ERR1950672,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,19858147,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/002/ERR1950672/ERR1950672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/002/ERR1950672/ERR1950672_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/002/ERR1950672/ERR1950672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/002/ERR1950672/ERR1950672_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950672/135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950672/135_2.fastq.gz,2579318114,ftp.sra.ebi.ac.uk/vol1/err/ERR195/002/ERR1950672,Sample7_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032365,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016400,ERR1950673,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,17799210,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/003/ERR1950673/ERR1950673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/003/ERR1950673/ERR1950673_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/003/ERR1950673/ERR1950673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/003/ERR1950673/ERR1950673_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950673/137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950673/137_2.fastq.gz,2316443226,ftp.sra.ebi.ac.uk/vol1/err/ERR195/003/ERR1950673,Sample8_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032366,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016401,ERR1950674,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,23306556,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/004/ERR1950674/ERR1950674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/004/ERR1950674/ERR1950674_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/004/ERR1950674/ERR1950674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/004/ERR1950674/ERR1950674_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950674/138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950674/138_2.fastq.gz,3130493687,ftp.sra.ebi.ac.uk/vol1/err/ERR195/004/ERR1950674,Sample9_Uganda,Uganda_DrugResistance2016
PRJEB20456,SAMEA104032367,Uganda,fecal excreta,Anatomical entity environment,Material anatomical entity,ERX2016402,ERR1950675,256318,metagenome,ILLUMINA,PAIRED,METAGENOMIC,RANDOM,19322961,KYOTO UNIVERSITY,2017-06-13,Surveillance for prevalence of drug resistance bacteria in Ugandan animal agriculture,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/005/ERR1950675/ERR1950675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/005/ERR1950675/ERR1950675_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/005/ERR1950675/ERR1950675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR195/005/ERR1950675/ERR1950675_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950675/139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR195/ERR1950675/139_2.fastq.gz,2587216272,ftp.sra.ebi.ac.uk/vol1/err/ERR195/005/ERR1950675,Sample10_Uganda,Uganda_DrugResistance2016
