#-- Created by /opt/SqueezeMeta-1.5.2/scripts/02.rnas.pl, Thu Sep  1 10:08:07 2022
# ORF	Model	Last tax	Rank	Full tax
megahit_672_2499-3970	Bacteria	Methanobrevibacter	genus	superkingdom:Archaea;phylum:Euryarchaeota;clade:Methanomada group;class:Methanobacteria;order:Methanobacteriales;family:Methanobacteriaceae;genus:Methanobrevibacter
megahit_893_78-380	Bacteria	Bacteria	superkingdom	superkingdom:Bacteria
megahit_1152_109-718	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_1524_2-355	Bacteria	Ruminococcaceae	family	
megahit_1922_342-1333	Bacteria	Ruminococcaceae	family	
megahit_4260_2-220	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_5485_1104-1630	Bacteria	Ruminococcaceae	family	
megahit_5570_3-309	Bacteria	Bacteria	superkingdom	superkingdom:Bacteria
megahit_6171_354-737	Bacteria	Coriobacteriaceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinobacteria;class:Coriobacteriia;order:Coriobacteriales;family:Coriobacteriaceae
megahit_8029_2-690	Bacteria	Ruminococcaceae	family	
megahit_12326_310-981	Bacteria	Porphyromonadaceae	family	superkingdom:Bacteria;clade:FCB group;clade:Bacteroidetes/Chlorobi group;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae
megahit_12932_2-220	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_12999_3-412	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_13302_7-740	Bacteria	Ruminococcaceae	family	
megahit_13517_1-317	Bacteria	Clostridiales	order	
megahit_15513_2-360	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_15894_1-554	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_15920_1930-3081	Bacteria	Lactobacillus	genus	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Bacilli;order:Lactobacillales;family:Lactobacillaceae;genus:Lactobacillus
megahit_16003_2-554	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_16281_1-264	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_17136_1-903	Bacteria	Selenomonas	genus	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Negativicutes;order:Selenomonadales;family:Selenomonadaceae;genus:Selenomonas
megahit_18570_1-574	Bacteria	Clostridium sensu stricto	genus	
megahit_18914_1-855	Bacteria	Clostridiales	order	
megahit_19776_2-334	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_21141_2-874	Bacteria	Lachnospiracea	genus	
megahit_22853_2-565	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_22915_1-1115	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_23662_1-341	Bacteria	Clostridia	class	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia
megahit_24741_1-247	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_24795_1-161	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_26801_1-433	Bacteria	Ruminococcaceae	family	
megahit_26878_35-421	Bacteria	Clostridiales	order	
megahit_26925_1-268	Bacteria	Clostridiales	order	
megahit_27996_244-1754	Bacteria	Bacteroidales	order	superkingdom:Bacteria;clade:FCB group;clade:Bacteroidetes/Chlorobi group;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales
megahit_28556_1-567	Bacteria	Clostridium IV	genus	
megahit_29648_139-433	Bacteria	Clostridiales	order	
megahit_29723_1-304	Bacteria	Roseburia	genus	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae;genus:Roseburia
megahit_31499_17-1489	Bacteria	Fibrobacter	genus	superkingdom:Bacteria;clade:FCB group;phylum:Fibrobacteres;class:Fibrobacteria;order:Fibrobacterales;family:Fibrobacteraceae;genus:Fibrobacter
megahit_31954_1-358	Bacteria	Ruminococcaceae	family	
