#-- Created by /opt/SqueezeMeta-1.5.2/scripts/02.rnas.pl, Sat Sep  3 00:47:51 2022
# ORF	Model	Last tax	Rank	Full tax
megahit_983_1-213	Bacteria	Veillonellaceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Negativicutes;order:Veillonellales;family:Veillonellaceae
megahit_1035_527-723	Bacteria	Bacteria	superkingdom	superkingdom:Bacteria
megahit_1302_513-723	Bacteria	Bacteroides	genus	superkingdom:Bacteria;clade:FCB group;clade:Bacteroidetes/Chlorobi group;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides
megahit_1593_469-1983	Bacteria	Turicibacter	genus	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Erysipelotrichia;order:Erysipelotrichales;family:Turicibacteraceae;genus:Turicibacter
megahit_1809_2-730	Bacteria	Bacteroides	genus	superkingdom:Bacteria;clade:FCB group;clade:Bacteroidetes/Chlorobi group;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides
megahit_1812_8-199	Bacteria	Lachnospiraceae	family	superkingdom:Bacteria;clade:Terrabacteria group;phylum:Firmicutes;class:Clostridia;order:Eubacteriales;family:Lachnospiraceae
megahit_2947_1-485	Bacteria	Sphaerochaeta	genus	superkingdom:Bacteria;phylum:Spirochaetes;class:Spirochaetia;order:Spirochaetales;family:Sphaerochaetaceae;genus:Sphaerochaeta
megahit_4048_1803-2234	Bacteria	Ruminococcaceae	family	
megahit_6566_1-675	Bacteria	Ruminococcaceae	family	
megahit_7581_2-1328	Bacteria	Subdivision5	genus	
megahit_8264_1-430	Bacteria	Clostridiales	order	
megahit_9062_1-466	Bacteria	Bacteria	superkingdom	superkingdom:Bacteria
megahit_9453_2-233	Bacteria	Clostridium sensu stricto	genus	
megahit_11083_2-193	Bacteria	Bacteria	superkingdom	superkingdom:Bacteria
