#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_124136	534	2453	+	tet(O)	1-1920/1920	===============	0/0	100.00	99.84	ncbi	NG_048264.1	tetracycline resistance ribosomal protection protein Tet(O)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_141177	1	949	+	tet(D)	233-1181/1185	..=============	0/0	80.08	96.52	ncbi	NG_048184.1	tetracycline efflux MFS transporter Tet(D)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_183717	348	1208	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_183717	6570	7226	+	qnrS1	1-657/657	===============	0/0	100.00	100.00	ncbi	NG_050543.1	quinolone resistance pentapeptide repeat protein QnrS1	QUINOLONE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_217276	1755	2889	+	blaEC-18	1-1134/1134	========/======	1/1	100.00	98.33	ncbi	NG_049083.1	class C extended-spectrum beta-lactamase EC-18	CEPHALOSPORIN
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_22337	1	1249	+	msr(D)	216-1464/1464	..=============	0/0	85.31	91.91	ncbi	NG_048005.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_223923	358	2283	-	tet(Q)	1-1926/1926	===============	0/0	100.00	99.64	ncbi	NG_048270.1	tetracycline resistance ribosomal protection protein Tet(Q)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_233542	819	1784	+	cfxA2	1-966/966	===============	0/0	100.00	93.17	ncbi	NG_047639.1	class A extended-spectrum beta-lactamase CfxA2	BETA-LACTAM
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_259376	446	1663	-	mef(A)	1-1218/1218	===============	0/0	100.00	93.92	ncbi	NG_047964.1	macrolide efflux MFS transporter Mef(A)	MACROLIDE
../metagenome_analysis_results/Ug_ERR1950670/results/01.Ug_ERR1950670.fasta	megahit_327230	1088	2207	+	mef(A)	1-1120/1227	==============.	0/0	91.28	97.32	ncbi	NG_047970.1	macrolide efflux MFS transporter Mef(A)	MACROLIDE
